_id,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,Latitude,Longitude
67eedeff5a504d7cc82ef1c8,Mesa de jantar,moveis,264.63,14.6218559113,2022-02-01,Thiago Silva,MG,5,cartao_credito,4,-18.1,-44.38
67eedeff5a504d7cc82ef1e1,Lavadora de roupas,eletrodomesticos,2034.43,108.8583816384,2021-03-01,Thiago Silva,RS,5,cartao_credito,2,-30.17,-53.5
67eedeff5a504d7cc82ef1e6,Micro-ondas,eletrodomesticos,930.94,47.1541934231,2021-03-01,Thiago Silva,PE,5,cartao_credito,10,-8.38,-37.86
67eedeff5a504d7cc82ef1f0,Headset,eletronicos,219.88,11.9967253244,2022-03-01,Mariana Ferreira,CE,5,cartao_credito,4,-5.2,-39.53
67eedeff5a504d7cc82ef1f4,Bateria,instrumentos musicais,535.83,26.1157745734,2023-03-01,Felipe Santos,MG,5,cartao_credito,8,-18.1,-44.38
67eedeff5a504d7cc82ef206,Boneca bebê,brinquedos,51.2,3.2573504949,2021-04-01,Rafael Costa,SP,5,cartao_credito,1,-22.19,-48.79
67eedeff5a504d7cc82ef20c,Faqueiro,utilidades domesticas,76.93,4.9847062385,2022-04-01,Bianca Santos,SP,4,cartao_credito,3,-22.19,-48.79
67eedeff5a504d7cc82ef21b,Micro-ondas,eletrodomesticos,1034.13,55.5954159446,2021-05-01,Mariana Ferreira,SP,4,cartao_credito,4,-22.19,-48.79
67eedeff5a504d7cc82ef23c,Corda de pular,esporte e lazer,13.3,0.0,2022-06-01,Bruno Rodrigues,SP,5,cartao_credito,3,-22.19,-48.79
67eedeff5a504d7cc82ef249,Jogo de tabuleiro,brinquedos,248.91,13.5424854904,2021-07-01,Rafael Costa,MT,1,cartao_credito,2,-12.64,-55.42
67eedeff5a504d7cc82ef251,Lava louças,eletrodomesticos,1567.6,84.0010885515,2022-07-01,Bruno Rodrigues,SP,1,cupom,1,-22.19,-48.79
67eedeff5a504d7cc82ef27d,Dinossauro Rex,brinquedos,20.73,1.3869360445,2022-08-01,Bruno Rodrigues,SP,5,boleto,1,-22.19,-48.79
67eedeff5a504d7cc82ef2a7,Guitarra,instrumentos musicais,1159.13,62.0089621812,2022-10-01,Bianca Santos,RJ,1,cartao_credito,5,-22.25,-42.66
67eedeff5a504d7cc82ef2ba,Smart TV,eletronicos,1949.04,101.3649555672,2022-11-01,Beatriz Moraes,SP,4,cartao_credito,10,-22.19,-48.79
67eedeff5a504d7cc82ef2c0,Jogo de tabuleiro,brinquedos,257.89,11.3163057292,2022-11-01,João Souza,RS,5,boleto,1,-30.17,-53.5
67eedeff5a504d7cc82ef2dd,Xadrez de madeira,brinquedos,32.67,0.0,2022-12-01,Isabella Pereira,MG,5,cartao_credito,5,-18.1,-44.38
67eedeff5a504d7cc82ef2df,Secadora de roupas,eletrodomesticos,1327.15,68.2511839634,2022-12-01,Thiago Silva,SP,5,boleto,1,-22.19,-48.79
67eedeff5a504d7cc82ef2ee,Pandeiro,instrumentos musicais,58.25,3.62790225,2021-01-02,Pedro Gomes,BA,4,cupom,1,-13.29,-41.71
67eedeff5a504d7cc82ef322,Boneca bebê,brinquedos,75.36,1.5971323531,2023-02-02,Thiago Silva,MG,1,cartao_credito,1,-18.1,-44.38
67eedeff5a504d7cc82ef33d,Sofá retrátil,moveis,977.93,52.9602456668,2022-03-02,Rafael Costa,SP,5,cartao_credito,2,-22.19,-48.79
67eedeff5a504d7cc82ef351,Modelagem preditiva,livros,61.12,3.7855606515,2021-04-02,Isabella Pereira,BA,5,cartao_credito,10,-13.29,-41.71
67eedeff5a504d7cc82ef362,Panela de pressão,utilidades domesticas,119.04,6.6216477883,2021-05-02,Juliana Costa,SP,5,cartao_credito,10,-22.19,-48.79
67eedeff5a504d7cc82ef367,Dashboards com Power BI,livros,47.26,0.0,2021-05-02,Isabella Pereira,RJ,2,cartao_credito,10,-22.25,-42.66
67eedeff5a504d7cc82ef1ad,Jogo de copos,utilidades domesticas,37.44,2.8819825404,2022-01-01,Thiago Silva,RJ,4,cartao_credito,4,-22.25,-42.66
67eedeff5a504d7cc82ef1c3,Jogo de panelas,utilidades domesticas,126.59,4.3249757326,2021-02-01,Juliana Costa,RS,1,cartao_credito,3,-30.17,-53.5
67eedeff5a504d7cc82ef1c4,Guitarra,instrumentos musicais,1158.33,62.2086923009,2022-02-01,Bruno Rodrigues,SP,4,cartao_credito,2,-22.19,-48.79
